구분,업소명,소재지(도로명),소재지전화번호,최신재지정일자,주된음식,데이터기준일자
124,민들레쌈밥,전라북도 전주시 덕진구 건산로 235 (인후동1가),063 -245 -4600,2019-11-19,쌈밥,2020-10-31
125,만족왕족발보쌈,전라북도 전주시 덕진구 솔내1길 2-2 (송천동1가),063 -276 -1151,2019-11-19,보쌈,2020-10-31
126,고향생각,전라북도 전주시 덕진구 아중1길 5 (우아동2가), 063- 246-9797,2019-11-19,백반정식,2020-10-31
127,생극해장국송천점,전라북도 전주시 덕진구 두간로 8 (송천동1가),063 -273 -1988,2019-11-19,감자탕,2020-10-31
128,세진회관,전라북도 전주시 덕진구 기린대로 678 (팔복동2가),063 -213 -5999,2019-11-19,비빔밥,2020-10-31
129,한가람,전라북도 전주시 덕진구 송천중앙로 51 (덕진동2가),063 -251 -3535,2019-11-19,갈비살구이,2020-10-31
130,송천점맛찬들왕소금구이,전라북도 전주시 덕진구 붓내3길 9-2 (송천동2가),063 -252 -5737,2019-11-19,삼겹살,2020-10-31
131,남원추맛골추어탕,전라북도 전주시 덕진구 인교3길 5 (우아동1가),063 -247 -7707,2019-11-19,추어탕,2020-10-31
132,현대옥아중점,전라북도 전주시 덕진구 무삼지4길 14 (인후동1가),063 -284 -0099,2019-11-19,콩나물국밥,2020-10-31
133,고귀,"전라북도 전주시 덕진구 송천로 1 (송천동1가, 1-1블럭동 1-102-1호,1-103호,1-103-2호)",063 -275 -9595,2019-11-19,소고기 구이,2020-10-31
134,하누야,전라북도 전주시 덕진구 발단길 10 (송천동2가),063 -275 -0092,2019-11-19,소고기구이,2020-10-31
135,참예우한우명품관,전라북도 전주시 덕진구 견훤로 515 (호성동1가),063 -240 -2853,2019-11-19,소고기구이,2020-10-31
136,고려옥,"전라북도 전주시 덕진구 동부대로 429, 1층 (우아동2가)",063 -245 -5002,2019-11-19,콩나물국밥,2020-10-31
137,하남돼지집전주송천점,전라북도 전주시 덕진구 붓내3길 7 (송천동2가),063 -278 -7766,2019-11-19,삼겹살,2020-10-31
138,팔미가,전라북도 전주시 덕진구 동부대로 453 (우아동2가),063 -246 -2722,2019-11-19,백숙,2020-10-31
139,백두산손짜장호성점,전라북도 전주시 덕진구 초포다리로 54 (호성동1가),063 -271 -0202,2019-11-19,짜장면,2020-10-31
140,동창갈비본점,전라북도 전주시 덕진구 송천중앙로 201 (송천동1가),063 -255 -9090,2019-11-19,돼지갈비,2020-10-31
141,한가족한방족발,전라북도 전주시 덕진구 붓내3길 17-1 (송천동2가),063 -253 -8588,2019-11-19,족발,2020-10-31
142,이비가짬뽕아중점,전라북도 전주시 덕진구 견훤로 212 (인후동1가), 063- 241-1301,2019-11-19,짬뽕,2020-10-31
143,미르밀옥류관인후점,"전라북도 전주시 덕진구 백제대로 686, 101,102,103호 (인후동2가)",063 -246 -1656,2019-11-19,냉면,2020-10-31
144,바다횟집,"전라북도 전주시 덕진구 붓내3길 6, 2층 201호 (송천동2가)",063 -274 -2001,2019-11-19,회,2020-10-31
